paper,method,section_count,entropy
2305.14647.pdf,sbert,12,0.8883272475816612
2306.00177.pdf,tfidf,20,0.8277898604670221
2306.00177.pdf,scibert,9,0.4945359708685961
2306.00177.pdf,sbert,17,0.6861929296291148
2310.10981.pdf,tfidf,32,0.7092588223758074
2310.10981.pdf,scibert,27,0.6120876470975003
2310.10981.pdf,sbert,27,0.7465847772133393
2311.02408.pdf,tfidf,24,0.5948406527191256
2311.02408.pdf,scibert,28,0.6048020249426849
2311.02408.pdf,sbert,28,0.6841155228740915
2311.17771.pdf,tfidf,19,0.7821782079342363
2311.17771.pdf,scibert,18,0.6327078724895658
2311.17771.pdf,sbert,13,0.5431238826990786
2312.00513.pdf,tfidf,17,0.8742458912296399
2312.00513.pdf,scibert,16,0.6357984653628931
2312.00513.pdf,sbert,9,0.7105629257290498
2402.17311.pdf,tfidf,24,0.7686228799300329
2402.17311.pdf,scibert,21,0.7476071995165294
2402.17311.pdf,sbert,22,0.7766506289802295
2405.07886.pdf,tfidf,14,0.9500733462248748
2405.07886.pdf,scibert,20,0.8089600845948446
2405.07886.pdf,sbert,17,0.8768181860779399
2410.12601.pdf,tfidf,30,0.8941565612164022
2410.12601.pdf,scibert,30,0.9131375504423157
2410.12601.pdf,sbert,30,0.916922078909435
2503.16513.pdf,tfidf,16,0.8656558587896941
2503.16513.pdf,scibert,13,0.7480388896406974
2503.16513.pdf,sbert,16,0.8199903115552849
2505.14179.pdf,tfidf,46,0.6050382316535676
2505.14179.pdf,scibert,46,0.5939431976093835
2505.14179.pdf,sbert,42,0.599621964940097
2508.03962.pdf,tfidf,8,0.8822005009856451
2508.03962.pdf,scibert,8,0.890049003400572
2508.03962.pdf,sbert,10,0.9193947616016112
2509.20461.pdf,tfidf,35,0.8223239024610951
2509.20461.pdf,scibert,25,0.3340813236498424
2509.20461.pdf,sbert,30,0.6746186183210143
2511.03330.pdf,tfidf,8,0.5678130661168266
2511.03330.pdf,scibert,8,0.5700742583942802
2511.03330.pdf,sbert,8,0.6349770090904064
